Medium;probabilities
Jacobin;[0.7997000098228455, 9.999999747378752e-05, 0.20014000527880854, 0.0, 3.9999998989515007e-05]
Junge Freiheit;[0.6053800039328052, 0.00021999999735271557, 0.39431999786174854, 0.0, 8.000000234460458e-05]
Junge Welt;[0.5996999945826247, 0.00012000000133411959, 0.40011999863927483, 0.0, 5.999999848427251e-05]
Tichys Einblick;[0.6022600030002649, 0.19052000230585692, 0.20306000064010732, 0.0038199998438358308, 0.0002799999914714135]
nd;[0.9988600134849548, 0.0003000000069732778, 0.0007600000186357647, 0.0, 9.999999747378752e-05]
tagesschau;[0.5996200137509732, 0.0001799999998183921, 0.4001200039318064, 0.0, 3.9999998989515007e-05]
taz;[0.7993000050191768, 0.00018000000418396666, 0.20042000061075668, 0.0, 7.999999797903001e-05]
